,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-02,106.446082915652,63.66804558716156,156.0215166193451,106.446082915652,106.446082915652,4.724785144374071,4.724785144374071,4.724785144374071,4.724785144374071,4.724785144374071,4.724785144374071,0.0,0.0,0.0,111.17086806002607
1,2020-01-03,106.68791059059548,62.65932509524024,154.5448011808825,106.68791059059548,106.68791059059548,2.1872356016034344,2.1872356016034344,2.1872356016034344,2.1872356016034344,2.1872356016034344,2.1872356016034344,0.0,0.0,0.0,108.87514619219891
2,2020-01-06,107.41339361542585,66.39041277336484,160.90444304002654,107.41339361542585,107.41339361542585,4.480698481252695,4.480698481252695,4.480698481252695,4.480698481252695,4.480698481252695,4.480698481252695,0.0,0.0,0.0,111.89409209667855
3,2020-01-07,107.6552212903693,62.0319892057361,159.74372256016196,107.6552212903693,107.6552212903693,4.564475776255374,4.564475776255374,4.564475776255374,4.564475776255374,4.564475776255374,4.564475776255374,0.0,0.0,0.0,112.21969706662468
4,2020-01-08,107.89704896531278,63.53684799202154,161.80758955794914,107.89704896531278,107.89704896531278,4.626443976002198,4.626443976002198,4.626443976002198,4.626443976002198,4.626443976002198,4.626443976002198,0.0,0.0,0.0,112.52349294131497
5,2020-01-09,108.13887664025623,64.65771079587849,162.6350783870811,108.13887664025623,108.13887664025623,4.724785144377481,4.724785144377481,4.724785144377481,4.724785144377481,4.724785144377481,4.724785144377481,0.0,0.0,0.0,112.8636617846337
6,2020-01-10,108.3807043151997,61.6108308138438,157.80879711487654,108.3807043151997,108.3807043151997,2.187235601647745,2.187235601647745,2.187235601647745,2.187235601647745,2.187235601647745,2.187235601647745,0.0,0.0,0.0,110.56793991684744
7,2020-01-13,109.10618734003008,65.62563620855514,157.04619037603126,109.10618734003008,109.10618734003008,4.480698481255708,4.480698481255708,4.480698481255708,4.480698481255708,4.480698481255708,4.480698481255708,0.0,0.0,0.0,113.58688582128579
8,2020-01-14,109.34801501497354,62.054724625840905,158.92495302586312,109.34801501497354,109.34801501497354,4.564475776253877,4.564475776253877,4.564475776253877,4.564475776253877,4.564475776253877,4.564475776253877,0.0,0.0,0.0,113.91249079122741
9,2020-01-15,109.58984267041744,63.21400475908773,161.98813230572216,109.58984267041744,109.58984267041744,4.626443976001153,4.626443976001153,4.626443976001153,4.626443976001153,4.626443976001153,4.626443976001153,0.0,0.0,0.0,114.2162866464186
10,2020-01-16,109.83167032586135,63.98550269710209,162.2307279973161,109.83167032586135,109.83167032586135,4.724785144380893,4.724785144380893,4.724785144380893,4.724785144380893,4.724785144380893,4.724785144380893,0.0,0.0,0.0,114.55645547024224
11,2020-01-17,110.07349798130525,59.66671940750433,156.2026871535073,110.07349798130525,110.07349798130525,2.1872356016162566,2.1872356016162566,2.1872356016162566,2.1872356016162566,2.1872356016162566,2.1872356016162566,0.0,0.0,0.0,112.2607335829215
12,2020-01-21,111.04080860308085,64.41088146710982,164.56122614793918,111.04080860308085,111.04080860308085,4.56447577625238,4.56447577625238,4.56447577625238,4.56447577625238,4.56447577625238,4.56447577625238,0.0,0.0,0.0,115.60528437933323
13,2020-01-22,111.28263625852475,68.20108751163568,167.53239031337716,111.28263625852475,111.28263625852475,4.62644397600418,4.62644397600418,4.62644397600418,4.62644397600418,4.62644397600418,4.62644397600418,0.0,0.0,0.0,115.90908023452893
14,2020-01-23,111.52446391396866,66.74505295502529,166.1440221624004,111.52446391396866,111.52446391396866,4.724785144384304,4.724785144384304,4.724785144384304,4.724785144384304,4.724785144384304,4.724785144384304,0.0,0.0,0.0,116.24924905835296
15,2020-01-24,111.76629156941253,66.6782262867501,159.7263685979922,111.76629156941253,111.76629156941253,2.1872356016163654,2.1872356016163654,2.1872356016163654,2.1872356016163654,2.1872356016163654,2.1872356016163654,0.0,0.0,0.0,113.9535271710289
16,2020-01-27,112.49177453574423,70.47930244133894,166.5172364780189,112.49177453574423,112.49177453574423,4.480698481273145,4.480698481273145,4.480698481273145,4.480698481273145,4.480698481273145,4.480698481273145,0.0,0.0,0.0,116.97247301701738
17,2020-01-28,112.73360216379167,69.8529185600626,165.5931381217663,112.73360216379167,112.73360216379167,4.564475776248849,4.564475776248849,4.564475776248849,4.564475776248849,4.564475776248849,4.564475776248849,0.0,0.0,0.0,117.29807794004053
18,2020-01-29,112.97542979183909,71.47651447478658,166.49167591063878,112.97542979183909,112.97542979183909,4.626443975999463,4.626443975999463,4.626443975999463,4.626443975999463,4.626443975999463,4.626443975999463,0.0,0.0,0.0,117.60187376783855
19,2020-01-30,113.21725741988651,75.18398102817835,167.7449294606894,113.21725741988651,113.21725741988651,4.724785144379722,4.724785144379722,4.724785144379722,4.724785144379722,4.724785144379722,4.724785144379722,0.0,0.0,0.0,117.94204256426623
20,2020-01-31,113.45908504793394,69.9126558288253,163.57682070029017,113.45908504793394,113.45908504793394,2.1872356016501433,2.1872356016501433,2.1872356016501433,2.1872356016501433,2.1872356016501433,2.1872356016501433,0.0,0.0,0.0,115.64632064958408
21,2020-02-03,114.18456793207622,69.3882216907706,165.2314039675429,114.18456793207622,114.18456793207622,4.480698481241,4.480698481241,4.480698481241,4.480698481241,4.480698481241,4.480698481241,0.0,0.0,0.0,118.66526641331723
22,2020-02-04,114.42639556012365,73.50956013736086,169.50191570658177,114.42639556012365,114.42639556012365,4.564475776247354,4.564475776247354,4.564475776247354,4.564475776247354,4.564475776247354,4.564475776247354,0.0,0.0,0.0,118.990871336371
23,2020-02-05,114.66822318817107,71.7577156050876,165.70961563858876,114.66822318817107,114.66822318817107,4.62644397600249,4.62644397600249,4.62644397600249,4.62644397600249,4.62644397600249,4.62644397600249,0.0,0.0,0.0,119.29466716417356
24,2020-02-06,114.91005081621852,72.81039007914416,169.84576812966066,114.91005081621852,114.91005081621852,4.724785144374367,4.724785144374367,4.724785144374367,4.724785144374367,4.724785144374367,4.724785144374367,0.0,0.0,0.0,119.63483596059288
25,2020-02-07,115.1518784161859,68.1204163822241,164.39500656232582,115.1518784161859,115.1518784161859,2.1872356016502517,2.1872356016502517,2.1872356016502517,2.1872356016502517,2.1872356016502517,2.1872356016502517,0.0,0.0,0.0,117.33911401783615
26,2020-02-10,115.87736121608803,72.85321385176145,166.99326527392137,115.87736121608803,115.87736121608803,4.480698481249718,4.480698481249718,4.480698481249718,4.480698481249718,4.480698481249718,4.480698481249718,0.0,0.0,0.0,120.35805969733775
27,2020-02-11,116.11918881605541,70.04432711094456,169.25903214637663,116.11918881605541,116.11918881605541,4.564475776257408,4.564475776257408,4.564475776257408,4.564475776257408,4.564475776257408,4.564475776257408,0.0,0.0,0.0,120.68366459231282
28,2020-02-12,116.36101641602279,73.46964359354354,166.30335858126872,116.36101641602279,116.36101641602279,4.626443976005516,4.626443976005516,4.626443976005516,4.626443976005516,4.626443976005516,4.626443976005516,0.0,0.0,0.0,120.98746039202831
29,2020-02-13,116.60284401599017,74.15324985386708,167.68662388954507,116.60284401599017,116.60284401599017,4.724785144369784,4.724785144369784,4.724785144369784,4.724785144369784,4.724785144369784,4.724785144369784,0.0,0.0,0.0,121.32762916035996
30,2020-02-14,116.84467161595757,70.88451715711392,169.34707717176104,116.84467161595757,116.84467161595757,2.1872356016398284,2.1872356016398284,2.1872356016398284,2.1872356016398284,2.1872356016398284,2.1872356016398284,0.0,0.0,0.0,119.0319072175974
31,2020-02-18,117.8119820158271,74.59105020615068,170.89581326967837,117.8119820158271,117.8119820158271,4.564475776255911,4.564475776255911,4.564475776255911,4.564475776255911,4.564475776255911,4.564475776255911,0.0,0.0,0.0,122.37645779208302
32,2020-02-19,118.05380961579448,71.1339025245281,169.29581663570505,118.05380961579448,118.05380961579448,4.626443976000799,4.626443976000799,4.626443976000799,4.626443976000799,4.626443976000799,4.626443976000799,0.0,0.0,0.0,122.68025359179528
33,2020-02-20,118.2956372155879,78.891317437178,172.11382054521715,118.2956372155879,118.2956372155879,4.724785144389185,4.724785144389185,4.724785144389185,4.724785144389185,4.724785144389185,4.724785144389185,0.0,0.0,0.0,123.02042235997709
34,2020-02-21,118.53746481538131,72.45727979759401,166.35209832501272,118.53746481538131,118.53746481538131,2.1872356016294052,2.1872356016294052,2.1872356016294052,2.1872356016294052,2.1872356016294052,2.1872356016294052,0.0,0.0,0.0,120.72470041701072
35,2020-02-24,119.26294761476154,78.8993273786624,171.6359758583986,119.26294761476154,119.26294761476154,4.480698481261451,4.480698481261451,4.480698481261451,4.480698481261451,4.480698481261451,4.480698481261451,0.0,0.0,0.0,123.743646096023
36,2020-02-25,119.50477521455495,74.37420775757299,174.47674908894098,119.50477521455495,119.50477521455495,4.564475776253399,4.564475776253399,4.564475776253399,4.564475776253399,4.564475776253399,4.564475776253399,0.0,0.0,0.0,124.06925099080836
